geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
ARHGAP9	72.559756610831	74.1570994842367	70.3724755802337	76.9324205701276	79.7556646818298	74.5954498478266	71.8125943451897	67.243288084009	73.4285936505355
LRIG3	56.1326617428624	34.7460710062963	50.6857663264367	35.7707861155292	57.9017298809743	33.9463154986461	45.2547285221358	40.5456988994558	44.3729697490421
PTPRB	40.8041213786214	36.4037153418011	63.274837576709	57.6573042243471	35.5192580847723	51.9235113600685	28.3525056800342	51.2373809761667	45.646579327815
LGR5	42.8834716732543	35.8427084480736	54.4432804087217	55.7398374726723	39.0137783709044	51.1609096150226	25.4930545049154	48.9061559961777	44.1853995612178
NAP1L1	67.9804779378102	45.4144764479615	52.823392759996	55.53107672485	68.755887707568	50.764149635404	41.9966887435399	45.3361443981216	53.5752867944064
OSBPL8	67.3593845690257	46.695703096359	57.3699637228785	64.4684583203289	71.6091241798506	53.7916952570306	48.2700962668051	48.2376935218377	57.2252648667645
ALX1	32.9332545297634	14.5037563734433	56.2500809345105	11.710765018254	16.3157251090533	13.6590970364714	17.9459170570267	32.5591670143992	24.4847203841152
ATP2B1	63.9086147143729	49.3665711761658	56.7425246337414	38.1183613541925	59.1145010043116	39.550303226182	49.5288077573379	53.0168470182776	51.1683163605727
SOCS2	65.7679672257974	75.6699258090746	58.9587973956276	71.4938184791952	65.4086848314477	65.4318352229166	58.6779717863532	52.0449560091072	64.1817445949399
USP44	61.4477125827374	69.9690477323169	62.8259173671156	67.4249808204111	65.6097885292048	58.4186944890085	56.821953784639	52.4960408682451	61.8767670217098
TXNRD1	69.7930171322099	73.9570245162732	65.5791713102687	62.8622167713865	73.9056621424628	62.2192921164362	57.9625473289868	60.9526047242231	65.9039420052809
CKAP4	61.8153234307248	63.2682492239664	60.0588554092021	59.2369044764887	63.0752431182758	52.2459244243692	49.4804693266519	54.7280436544689	57.9886266330185
RFC5	41.5635756474295	53.0234566740952	45.1866276454315	56.7637710443403	37.9832955698148	55.4677537962038	52.8803233189887	58.4155338853454	50.1605421977062
HSPB8	35.7830894246105	45.5136558318874	35.6942388874284	48.8989505722348	32.6896802811223	50.1045739243213	43.2463792996477	55.601571870235	43.4415175114359
MSI1	67.6269384615385	74.4832579920079	70.7856566433566	78.3612112887113	70.6185262737263	74.1136688311689	73.2298963036963	67.166153996004	72.0481637237762
RAN	34.7833869142286	51.5183247147138	47.913574078493	51.3916474599686	28.1491622887969	56.1420509530469	47.5417505625803	58.9538757048666	47.0492215845868
CHFR	58.7526541541991	63.8907190403676	61.4872619805271	68.4441670059006	60.2249496441201	63.3696953255988	67.6676620515992	62.880640785389	63.3397187484627
RPL21	60.3402420722135	57.6419212316255	56.122554045954	59.4114327700871	62.633368160411	61.4171390752105	51.3404777279863	46.369133402312	56.909533560725
RASL11A	60.7559381898803	57.1061616190827	56.7792145608777	60.035166631614	63.2031445782288	61.7629120265699	51.4414261931052	47.5393619030093	57.327915712796
MAB21L1	52.5694757510782	24.9116182159304	44.191038795351	34.1648429887186	25.6314731692698	30.6696810920786	43.8262428644526	58.9102717136522	39.3593305738165
LCP1	51.156238421051	67.8539249816953	50.1542702947673	64.0481811390473	46.2089345496119	57.6756034324372	50.7485358945403	57.0499787979101	55.6119584388826
FAM124A	60.9975372740303	62.1398602562655	61.1274178499761	71.5794076349737	62.3539364539808	64.4532202397602	63.7728337167181	60.7736497606741	63.3997328982974
KLF5	43.7328396204581	32.3249730460639	56.1859953764822	39.0958681500306	37.7758391322944	40.9043342054543	43.6798191876186	43.2772887454169	42.1221196829774
COMMD6	49.2836448849439	47.9303832668554	40.0791488494391	45.876757904687	50.4602986434103	44.9893642531063	31.3295426705324	49.0123324814549	44.8701841193036
GPC5	24.330704995005	28.4664343756244	49.1645581418581	18.3024787312687	11.9965026173826	20.7213813186813	24.5523969030969	44.3096612387612	27.7305147902098
ZIC5	56.5109333757152	68.1930402052493	58.5538626191989	67.9668922895287	53.9538480065389	65.4518248478794	62.3796911452184	57.2040841068023	61.2767720745164
ZIC2	55.3467587297318	67.9245414239606	58.5366091485437	68.2093480212096	53.3725129601168	65.4585607469453	61.8978801659879	56.7407902943211	60.9358751863521
CARS2	56.1176465433679	41.7686287539975	56.3407989349704	40.1718927320017	57.5395644528548	51.9894011566835	54.5553619447121	57.6432642930442	52.015819851454
RNASE1	42.1477291435837	58.7292935864136	48.487363672691	60.4015335119426	34.9799977571519	58.0423651675597	45.0625474961402	45.8754253946054	49.215781966261
